id|subscriptionChannelId|publishedAt|title|description|thumbnailUrl|totalItemCount|newItemCount
UCzXNBo1PYNsqSrN19XK3hPw|UCDVJALXalH1LjsBS6Ylb9XA|2018-04-09T00:17:18.214000Z|"Been 이빈"|""|https://yt3.ggpht.com/-mZRx_35vAAM/AAAAAAAAAAI/AAAAAAAAAAA/AIUtfQIE9cM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|164|0
UCzXNBo1PYNsqSrN19XK3hPw|UCg-p3lQIqmhh7gHpyaOmOiQ|2018-04-08T23:57:39.816000Z|"영국남자 Korean Englishman"|"안녕하세요! 제 이름은 조쉬이고, 저는 영국남자예요. 제 친한 친구 올리와 영상 만들어서 매주 한국 시간 수요일 저녁 8시반쯤에 영상 올려요! ^^ Hello! This is Josh and Ollie, and we make videos in Korean and English, linking the two cultures and having fun along the way! We upload every Wednesday.       보고싶은 영상 컨셉 있으면 영상 코멘트로, 아니면 우리 인스타그램이나 페북 댓글로 알려주세요! 재밌게 보세요!!   비즈니스 문의: jolly@thekitstudios.com  To contact us feel free to send us a message here or leave us a comment on our Facebook page.  For all business related inquiries please email us at koreanenglishman@gmail.com.   Thank you!!"|https://yt3.ggpht.com/-WkD6RRhfnsg/AAAAAAAAAAI/AAAAAAAAAAA/wjpGKi1LkeI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|404|0
UCzXNBo1PYNsqSrN19XK3hPw|UC-Qp5_BCnL2ep8EPVxnBiNA|2020-03-09T04:42:08.260000Z|"옆 반 남교사 Next Classroom’s Male Teacher"|"안녕하세요? 초등교육 관련 콘텐츠를 다루는 옆 반 남교사 조선생입니다. 교직생활 브이로그, 교직생활 정보, 초등 수학교육 등 다양한 초등학교 현장의 다양한 이야기를 제 채널을 통해 만나보세요!"|https://yt3.ggpht.com/-9pfhb5taLjw/AAAAAAAAAAI/AAAAAAAAAAA/9kGmHR5wFxM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|38|0
UCzXNBo1PYNsqSrN19XK3hPw|UCsE5BOfWMoqlQwhLDT2Y2HA|2017-10-12T09:46:19Z|"인천관광"|""|https://yt3.ggpht.com/-d59u1CjHTfk/AAAAAAAAAAI/AAAAAAAAAAA/j5v6PnqlUL0/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|72|0
UCzXNBo1PYNsqSrN19XK3hPw|UC-jeysc9SM81n6fWoCiLxtg|2018-08-02T14:05:35.411000Z|"charlycheer"|"I'll be back in a bit!  ♥ ♥ ♥ I’m Charly, a plant based foodie, life and travel video blogger. I prefer slow travel where I feel like I'm living in a country rather than traveling. I post videos to inspire you to step out of your comfort zone, work toward your dreams, and live to discover your potential.   “The Earth is my country and the world is my playground.” -Charly  Facebook: Charly Cheer Instagram: charlycheer Twitter: charlycheer  If you want one on one motivation & personalized tips, checkout my video chat option on my website!  Business contact: please contact me through my website! http:charlycheer.com  What camera do I use?   Before: Canon Powershot SX260 HS **As of Aug 2014 Sony a5000 (current) **& March 2015: Canon Vixia Mini (current)"|https://yt3.ggpht.com/-ab3LaHmftLA/AAAAAAAAAAI/AAAAAAAAAAA/ZmHXEIDrUNg/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|1346|0
UCzXNBo1PYNsqSrN19XK3hPw|UCQabORQKQRHP-iUqe-xIFvg|2018-05-03T01:11:19.973000Z|"스브스뉴스 SUBUSU NEWS"|"뉴스에는 위아래가 없다! SBS 스브스뉴스"|https://yt3.ggpht.com/-2a4UJZbC5bI/AAAAAAAAAAI/AAAAAAAAAAA/cwXD3fUGyQ8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|2065|0
UCzXNBo1PYNsqSrN19XK3hPw|UCjNzRyRh-a2juS_OaFHCAMg|2019-10-07T09:44:09.630000Z|"BBYOL"|"뾸의 특별한 세계여행 과정을 그린 이야기. BBYOL’s epic traveling story."|https://yt3.ggpht.com/-nnvMLhfdQhU/AAAAAAAAAAI/AAAAAAAAAAA/-n-qW21iYso/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|20|0
UCzXNBo1PYNsqSrN19XK3hPw|UCSOYF1lZgyK6c0iRK_0mlBA|2018-04-09T00:30:19.312000Z|"달님 DALNIM"|"Dalring Healing🌝"|https://yt3.ggpht.com/-cAZI5scwPHc/AAAAAAAAAAI/AAAAAAAAAAA/ghtn0Yh3sRA/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|156|0
UCzXNBo1PYNsqSrN19XK3hPw|UC29pam9t1v1YlN8lFkmUoUQ|2018-08-02T13:05:13.337000Z|"whatsshesaying"|"heeeey, my name is ewnett and this is my youtube channel.  originally from Toronto, Canada moved to South Korea in August 2016 for 2 years, then moved to Germany in October 2018 and I will be documenting my journey along the way to look back at when i'm oldgive you a little peek into life overseastipstravels etc!   HAVE A GREAT DAY! ________________________________________________________________"|https://yt3.ggpht.com/-1GM-2yUYwSQ/AAAAAAAAAAI/AAAAAAAAAAA/zx0exIe32AY/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|28|0
UCzXNBo1PYNsqSrN19XK3hPw|UCsRIHt5FkbGc6cQtCxt-ufA|2018-11-02T06:10:42.057000Z|"tvN D ENT"|"신선한 시도, 색다른 웃음, 꿀잼예능 채널!  괴릴라 데이트, 마일리지 싸커, 죽네투어 그리고 색다른 콘텐츠를 선보이는 디지털 스튜디오, tvN D ENT !"|https://yt3.ggpht.com/--dz5PVIHvvU/AAAAAAAAAAI/AAAAAAAAAAA/8RhIRWnD0sg/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|8900|0
